Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (26.9037, -201.4906, 1864.2808) connects to:
    Branch Segment 2
    Branch Segment 5

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   21.8929  -200.2954  1865.1921     0.8150    -0.1818     0.5502     0.4651    -0.3610    -0.8083     0.3456     0.9147    -0.2097     5.8234     3.6645     7.5562     0.3165     5.5486     0.7343    19.0743    26.4587     0.5008
   22.0372  -200.3287  1865.2841     0.8399    -0.1994     0.5048     0.4446    -0.2807    -0.8506     0.3113     0.9389    -0.1471     5.7922     3.7361     7.5180     0.3109     5.5010     0.7317    19.0524    26.2021     0.4799
   22.1856  -200.3648  1865.3680     0.8627    -0.2151     0.4576     0.3900    -0.2929    -0.8730     0.3218     0.9316    -0.1688     5.7928     3.8831     7.4659     0.3175     5.5041     0.7372    19.0529    26.2173     0.4263
   22.3379  -200.4036  1865.4436     0.8832    -0.2291     0.4092     0.3626    -0.2196    -0.9057     0.2973     0.9483    -0.1109     5.7880     4.0479     7.3950     0.3074     5.5252     0.7471    18.9745    26.2093     0.3889
   22.4940  -200.4447  1865.5108     0.9017    -0.2410     0.3588     0.3107    -0.2156    -0.9257     0.3005     0.9463    -0.1195     5.7976     4.1679     7.3035     0.3216     5.5445     0.7592    18.9887    26.3209     0.3393
   22.6536  -200.4879  1865.5692     0.9179    -0.2508     0.3075     0.2799    -0.1399    -0.9498     0.2812     0.9579    -0.0582     5.8135     4.2018     7.1786     0.3030     5.5482     0.7729    19.1042    26.4985     0.2766
   22.8166  -200.5328  1865.6189     0.9313    -0.2589     0.2564     0.2198    -0.1621    -0.9620     0.2906     0.9522    -0.0941     5.8335     4.2003     7.0380     0.3031     5.5516     0.7888    19.2511    26.7185     0.2633
   22.9825  -200.5793  1865.6597     0.9422    -0.2656     0.2042     0.1869    -0.0892    -0.9783     0.2781     0.9599    -0.0343     5.8636     4.4180     7.0217     0.3048     5.6228     0.8008    19.2008    26.9904     0.2878
   23.1511  -200.6270  1865.6914     0.9508    -0.2698     0.1522     0.1384    -0.0695    -0.9879     0.2772     0.9604    -0.0287     5.9061     4.8960     6.9826     0.2896     5.7030     0.8167    19.2062    27.3832     0.2976
   23.3223  -200.6757  1865.7141     0.9568    -0.2726     0.1008     0.0940    -0.0381    -0.9948     0.2751     0.9614    -0.0108     5.9498     5.0095     6.9186     0.2878     5.7434     0.8301    19.3617    27.8003     0.3081
   23.4955  -200.7251  1865.7277     0.9604    -0.2742     0.0501     0.0459    -0.0218    -0.9987     0.2749     0.9614    -0.0084     5.9915     5.1373     6.8535     0.2752     5.7837     0.8439    19.4704    28.1525     0.3153
   23.6705  -200.7750  1865.7323     0.9619    -0.2734     0.0006     0.0155     0.0524    -0.9985     0.2730     0.9605     0.0546     6.0220     5.2750     6.8251     0.2695     5.8219     0.8530    19.5308    28.4265     0.3222
   23.8471  -200.8250  1865.7279     0.9613    -0.2714    -0.0484    -0.0419     0.0296    -0.9987     0.2725     0.9620     0.0171     6.0477     5.3336     6.7866     0.2648     5.8567     0.8630    19.5709    28.6552     0.3320
   24.0248  -200.8750  1865.7145     0.9586    -0.2683    -0.0959    -0.0706     0.1024    -0.9922     0.2760     0.9579     0.0792     6.0727     5.3810     6.7983     0.2511     5.9205     0.8709    19.5081    28.8743     0.3612
   24.2032  -200.9246  1865.6923     0.9541    -0.2636    -0.1420    -0.1202     0.0971    -0.9880     0.2743     0.9597     0.0610     6.0979     5.4285     6.8577     0.2480     5.9551     0.8684    19.5582    29.1175     0.3858
   24.3822  -200.9737  1865.6613     0.9479    -0.2577    -0.1871    -0.1479     0.1640    -0.9753     0.2820     0.9522     0.1174     6.1259     5.3157     7.0458     0.2400     5.9808     0.8488    19.6563    29.3903     0.4077
   24.5612  -201.0219  1865.6217     0.9401    -0.2512    -0.2303    -0.2038     0.1271    -0.9707     0.2731     0.9596     0.0683     6.1600     5.1988     7.2737     0.2287     6.0194     0.8276    19.7489    29.7193     0.4377
   24.7399  -201.0692  1865.5737     0.9310    -0.2434    -0.2721    -0.2166     0.2318    -0.9484     0.2939     0.9418     0.1630     6.2086     5.0742     7.5327     0.2276     6.0777     0.8068    19.8642    30.1822     0.4726
   24.9181  -201.1151  1865.5174     0.9206    -0.2339    -0.3126    -0.2660     0.2103    -0.9407     0.2857     0.9493     0.1314     6.2911     4.9770     7.8475     0.2182     6.1610     0.7851    20.1156    30.9831     0.5061
   25.0953  -201.1595  1865.4531     0.9091    -0.2245    -0.3509    -0.2945     0.2491    -0.9226     0.2945     0.9421     0.1604     6.3990     4.9850     8.2357     0.2054     6.2597     0.7601    20.4570    32.0135     0.5377
   25.2712  -201.2022  1865.3811     0.8963    -0.2136    -0.3886    -0.3261     0.2761    -0.9041     0.3004     0.9371     0.1778     6.5092     4.9294     8.6427     0.2185     6.3536     0.7351    20.8360    33.0959     0.5812
   25.4454  -201.2429  1865.3014     0.8827    -0.2021    -0.4243    -0.3569     0.2992    -0.8849     0.3058     0.9325     0.1919     6.6063     4.8584     9.0017     0.1896     6.4271     0.7140    21.1854    34.0400     0.6280
