Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -23.1048  -233.1242  1689.8129    -0.2152     0.1338    -0.9674     0.5541     0.8324    -0.0081     0.8042    -0.5378    -0.2533
  -23.2872  -233.0069  1688.9813    -0.2076     0.1399    -0.9681     0.8288     0.5509    -0.0981     0.5196    -0.8228    -0.2303
  -23.4553  -232.8846  1688.1622    -0.1876     0.1502    -0.9707     0.9073     0.4050    -0.1127     0.3762    -0.9019    -0.2123
  -23.5974  -232.7545  1687.3548    -0.1520     0.1636    -0.9747     0.9455     0.3114    -0.0951     0.2880    -0.9361    -0.2020
  -23.7025  -232.6150  1686.5543    -0.1025     0.1764    -0.9790     0.9782     0.1965    -0.0671     0.1805    -0.9645    -0.1927
  -23.7634  -232.4674  1685.7535    -0.0463     0.1839    -0.9818     0.9969     0.0708    -0.0337     0.0633    -0.9804    -0.1866
  -23.7792  -232.3155  1684.9446     0.0062     0.1836    -0.9830     0.9950    -0.0994    -0.0123    -0.1000    -0.9780    -0.1833
  -23.7563  -232.1649  1684.1220     0.0457     0.1752    -0.9835     0.9336    -0.3578    -0.0204    -0.3554    -0.9172    -0.1799
  -23.7066  -232.0210  1683.2834     0.0677     0.1621    -0.9844     0.6608    -0.7466    -0.0775    -0.7475    -0.6453    -0.1577
  -23.6449  -231.8866  1682.4315     0.0723     0.1493    -0.9861    -0.2933    -0.9418    -0.1641    -0.9533     0.3011    -0.0243
  -23.5850  -231.7603  1681.5731     0.0638     0.1428    -0.9877    -0.9896    -0.1189    -0.0811    -0.1291     0.9826     0.1337
  -23.5359  -231.6353  1680.7182     0.0493     0.1486    -0.9877    -0.7653     0.6410     0.0582     0.6418     0.7530     0.1453
  -23.4996  -231.5003  1679.8777     0.0370     0.1717    -0.9845    -0.2547     0.9542     0.1568     0.9663     0.2449     0.0791
  -23.4702  -231.3405  1679.0614     0.0362     0.2162    -0.9757     0.1216     0.9681     0.2191     0.9919    -0.1266     0.0088
  -23.4359  -231.1410  1678.2757     0.0509     0.2775    -0.9594     0.3032     0.9110     0.2796     0.9516    -0.3051    -0.0378
  -23.3813  -230.8898  1677.5228     0.0930     0.3585    -0.9289     0.5120     0.7829     0.3534     0.8539    -0.5085    -0.1107
  -23.2461  -230.4574  1676.5657     0.1526     0.4411    -0.8844     0.6093     0.6626     0.4356     0.7782    -0.6053    -0.1677
  -23.1561  -230.2141  1676.1020     0.1903     0.4775    -0.8578     0.6565     0.5878     0.4728     0.7299    -0.6531    -0.2016
  -22.9704  -229.7987  1675.4204     0.2555     0.5262    -0.8111     0.7982     0.3586     0.4841     0.5456    -0.7711    -0.3283
